country,arrivals,ISO3_code,AveragePopulation,ArrivalsPer1000,Continent
EGY,61353,EGY,115633.2995909091,530.5824552015418,Americas
ERI,538,ERI,3504.957227272728,153.49688030818788,Asia
ESP,105701,ESP,47896.51790909092,2206.861889221755,Asia
EST,8255,EST,1358.5245909090909,6076.44503105826,Asia
ETH,1201,ETH,130429.56172727272,9.208035234460748,Europe
FIN,28014,FIN,5606.854681818182,4996.38417432921,Americas
FJI,5371,FJI,927.1403181818182,5793.082120010567,Europe
FRA,335976,FRA,66485.68181818182,5053.358720435364,Americas
FSM,29,FSM,112.9565,256.7360001416474,Africa
GAB,287,GAB,2512.2593181818183,114.23979918112462,Africa
GBR,780219,GBR,68914.01463636363,11321.63035511654,Americas
GEO,1936,GEO,3805.918181818182,508.6814554366286,Europe
GHA,2582,GHA,34118.16277272727,75.67816641240572,Africa
GIB,2,GIB,38.92063636363636,51.38662125957952,Asia
GIN,1748,GIN,14582.516363636363,119.86957232970391,Africa
GLP,1,GLP,378.27722727272726,2.643563841285714,Europe
GMB,844,GMB,2729.795090909091,309.18071572871304,Europe
GNB,26,GNB,2177.951136363636,11.93782521834272,Asia
GNQ,62,GNQ,1870.0137272727277,33.15483683129015,Americas
GRC,9507,GRC,10137.93168181818,937.7652462434992,Europe
GRD,525,GRD,117.17363636363638,4480.530060283494,Americas
GRL,4,GRL,55.893,71.56531229313153,Americas
GTM,827,GTM,18281.48418181818,45.23702735374688,Americas
GUY,197,GUY,828.7773181818181,237.6995553307142,Asia
HKG,27640,HKG,7425.439909090908,3722.338385118512,Asia
HND,615,HND,10742.211409090907,57.2507816667561,Europe
HRV,7211,HRV,3884.518045454545,1856.3435452276829,Africa
HTI,240,HTI,11711.261454545454,20.493095550082657,Asia
HUN,21586,HUN,9682.746727272728,2229.3261001240685,Asia
IDN,8477856,IDN,282473.9793181818,30012.87417858212,Americas
IND,2345086,IND,1445518.5428636365,1622.3147129986176,Europe
IRL,51700,IRL,5221.694181818181,9901.001131015715,Europe
IRN,61065,IRN,91115.2734090909,670.1949927300259,Asia
IRQ,34226,IRQ,45566.13318181818,751.1280332573157,Europe
ISL,1437,ISL,390.25754545454544,3682.18377001854,Africa
ISR,16,ISR,9317.577090909092,1.7171846118247596,Asia
ITA,123871,ITA,59416.34331818182,2084.7967593134363,Asia
JAM,717,JAM,2840.608863636364,252.4106747601087,Asia
JOR,24557,JOR,11486.774863636365,2137.8498570334127,Asia
JPN,739722,JPN,124065.09454545454,5962.370018014883,Africa
KAZ,39276,KAZ,20458.22468181818,1919.8146765347492,Europe
KEN,13558,KEN,55914.473318181816,242.4774695247164,Africa
KGZ,8974,KGZ,7127.268772727272,1259.1078414692745,Europe
KHM,210154,KHM,17533.438954545454,11985.897378421514,Asia
KIR,116,KIR,133.5433181818182,868.6320033029799,Africa
KNA,2330,KNA,46.841772727272726,49741.92615565555,Africa
KOR,1057434,KOR,51758.189454545456,20430.27414876343,Asia
KWT,22762,KWT,4855.442772727272,4687.934976363592,Africa
LAO,55101,LAO,7721.060772727273,7136.454642946288,Europe
LBN,8141,LBN,5793.319772727273,1405.2391926171078,Europe
LBR,288,LBR,5553.766909090909,51.85669559314336,Europe
LBY,11524,LBY,7343.063090909091,1569.3723255989753,Europe
LCA,478,LCA,179.62004545454545,2661.1729152521702,Oceania
LIE,241,LIE,39.74190909090909,6064.12740386265,Europe
LKA,138706,LKA,23044.89122727273,6018.947914835322,Africa
LSO,174,LSO,2325.568545454545,74.82041341679341,Oceania
LTU,14268,LTU,2851.6323181818184,5003.450097345362,Europe
LUX,1870,LUX,668.2249090909091,2798.4589837335657,Europe
LVA,6777,LVA,1875.2915454545453,3613.8380810314734,Asia
MAC,132,MAC,716.5569090909091,184.21425894485827,Asia
MAR,28552,MAR,37911.683454545455,753.118759134837,Europe
MCO,103,MCO,38.61845454545455,2667.118640875888,Asia
MDA,1083,MDA,3039.932909090909,356.25786238942715,Asia
MDG,2161,MDG,31589.037909090912,68.40980742177312,Europe
MDV,80329,MDV,526.1201363636363,152681.8580927291,Africa
MEX,22342,MEX,130393.90690909092,171.34236199837602,Europe
MHL,111,MHL,38.23322727272727,2903.233860124048,Asia
MKD,1332,MKD,1828.4803181818183,728.4737969312667,Africa
MLI,331,MLI,24125.21481818182,13.720085085026636,Africa
MLT,1829,MLT,536.9691818181818,3406.1545092904435,Asia
MMR,360931,MMR,54336.25318181818,6642.544873167176,Africa
MNE,564,MNE,634.3889090909091,889.0445465199293,Asia
MNG,16414,MNG,3453.983318181818,4752.19434720384,Asia
MNP,3,MNP,44.73322727272727,67.06424246365576,Europe
MOZ,956,MOZ,34139.92836363636,28.002402050095373,Americas
MRT,744,MRT,5097.046681818182,145.9668797333058,Europe
MUS,41679,MUS,1273.1679545454544,32736.45071822453,Oceania
MWI,662,MWI,21390.486954545453,30.948337053136875,Europe
MYT,2,MYT,321.24054545454544,6.225864164095668,Asia
NAM,616,NAM,2994.559136363636,205.7064068362408,Africa
NCL,2,NCL,291.5198181818181,6.860597034101533,Africa
NER,90,NER,26602.365863636365,3.383157740982125,Americas
NGA,15552,NGA,230324.3754090909,67.52216291644034,Asia
NIC,243,NIC,6874.849136363637,35.34623017611871,Europe
NLD,174610,NLD,18155.463863636363,9617.49043216279,Africa
NOR,30007,NOR,5550.593227272728,5406.08882174273,Americas
NPL,449691,NPL,29644.816681818174,15169.296029946623,Africa
NRU,102,NRU,11.913,8562.075044069503,Africa
NZL,113255,NZL,5196.721272727273,21793.549058397555,Oceania
OMN,39478,OMN,5165.745363636363,7642.265969573448,Asia
PAK,355369,PAK,249398.63077272728,1424.9035726416705,Asia
PAN,947,PAN,4489.325045454545,210.9448503754123,Asia
PER,4860,PER,34056.189090909094,142.70533872791188,Asia
PHL,1147669,PHL,115445.7968181818,9941.193457285324,Asia
PLW,57,PLW,17.709318181818183,3218.64452458259,Asia
PNG,2519,PNG,10486.183772727272,240.2208519892125,Europe
POL,61737,POL,38530.98322727273,1602.2690009192847,Asia
PRI,1,PRI,3244.743681818182,0.308190753434075,Africa
PRK,9,PRK,26463.694772727275,0.3400885657612383,Asia
PRT,27939,PRT,10421.745636363636,2680.836874632117,Americas
PRY,463,PRY,6891.088318181818,67.18822610042537,Europe
PSE,10249,PSE,5447.076409090909,1881.559800206752,Americas
QAT,5388,QAT,3010.94309090909,1789.472546415086,Europe
REU,2,REU,876.9784545454546,2.280557737346714,Europe
ROU,25980,ROU,19058.442045454543,1363.1754336496908,Africa
RUS,281242,RUS,145065.58986363636,1938.723030488287,Africa
RWA,297,RWA,14104.6655,21.05686235522565,Americas
SAU,151906,SAU,33571.50181818182,4524.849702068735,Africa
SDN,30589,SDN,50088.49763636364,610.6990914774965,Europe
SEN,1799,SEN,18292.51481818182,98.34623712929218,Americas
SGP,34496707,SGP,5827.672681818181,5919465.433881804,Europe
SHN,2,SHN,5.260636363636364,380.1821418079389,Americas
SLB,459,SLB,809.9397272727273,566.7088359100122,Asia
SLE,739,SLE,8553.191590909091,86.40049648665173,Europe
SLV,519,SLV,6328.245318181818,82.0132554768144,Americas
SMR,81,SMR,33.71131818181818,2402.753863350453,Asia
SOM,7257,SOM,18701.409681818182,388.04561385847694,Africa
SPM,1,SPM,5.652454545454545,176.91429306656804,Americas
SRB,2946,SRB,6754.726863636364,436.1390267102584,Asia
SSD,972,SSD,11763.44309090909,82.62886915746391,Americas
STP,48,STP,233.297,205.74632335606543,Africa
SUR,616,SUR,631.9052272727272,974.8297266959266,Europe
SVK,14033,SVK,5502.991227272727,2550.067666917712,Americas
SVN,5490,SVN,2117.661772727273,2592.4819868328614,Europe
SWE,53494,SWE,10578.343409090909,5056.935470068769,Africa
SWZ,567,SWZ,1237.239681818182,458.2782207298483,Asia
SYC,2595,SYC,129.1638181818182,20090.765637998826,Asia
SYR,20529,SYR,24174.68645454545,849.1940542269175,Americas
TCA,3,TCA,46.33181818181818,64.75031884626706,Africa
TCD,770,TCD,19868.63363636364,38.7545522300408,Africa
TGO,262,TGO,9410.58731818182,27.840982835768425,Asia
THA,5647418,THA,71701.19590909091,78763.23300325833,Europe
TJK,3545,TJK,10492.511227272727,337.8600149395729,Americas
TKL,2,TKL,2.455136363636364,814.6187029048563,Europe
TKM,5375,TKM,7430.6255,723.357676954652,Asia
TLS,6745,TLS,1392.2163636363637,4844.792933177836,Europe
TON,424,TON,104.45622727272726,4059.116541639669,Europe
TTO,1158,TTO,1505.165909090909,769.3504038364844,Africa
TUN,18392,TUN,12244.807545454543,1502.0244239630688,Asia
TUR,50414,TUR,87386.493,576.9083787353727,Africa
TUV,14,TUV,9.742318181818185,1437.0296410691872,Africa
TWN,639102,TWN,23279.92309090909,27452.925746544755,Asia
TZA,5973,TZA,67602.38386363637,88.35487239693192,Africa
UGA,4255,UGA,49340.05468181818,86.23825059456142,Africa
UKR,36714,UKR,38540.37472727273,952.6113915550408,Asia
URY,2769,URY,3389.022136363636,817.0498416900548,Europe
USA,607643,USA,344631.83368181816,1763.1656179533527,Europe
UZB,36853,UZB,36018.3045,1023.1742029944804,Europe
VAT,34,VAT,0.4976818181818181,68316.74125490914,Asia
VCT,75,VCT,101.0081818181818,742.5141077680476,Europe
VEN,2871,VEN,28391.63186363636,101.12134497197184,Africa
VNM,878361,VNM,100688.92377272728,8723.51165439623,Africa
VUT,2970,VUT,324.21422727272727,9160.60971470463,Asia
WSM,113,WSM,217.3793181818182,519.8286614621069,Americas
YEM,43725,YEM,40012.92518181819,1092.7718931148922,Asia
ZAF,45266,ZAF,63610.84872727273,711.6081754242103,Africa
ZMB,2169,ZMB,21030.13468181818,103.13771322992196,Europe
ZWE,4687,ZWE,16496.19681818182,284.1260959516481,Asia
